Row 1361: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5373.06.26
Row 1362: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5374.06.26
Row 1363: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5375.06.26
Row 1364: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5376.06.26
Row 1365: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5377.06.26
Row 1366: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5378.06.26
Row 1367: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5379.06.26
Row 1368: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5380.06.26
Row 1369: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5381.06.26
Row 1370: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5382.06.26
Row 1371: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5383.06.26
Row 1372: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5384.06.26
Row 1373: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5385.06.26
Row 1374: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5386.06.26
Row 1375: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5387.06.26
Row 1376: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5388.06.26
Row 1377: Đầu vào: 2026-06-06 00:00:00, Ép TL: 2026-06-13 00:00:00, Pipe: 5389.06.26
Row 1378: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5390.06.26
Row 1379: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5391.06.26
Row 1380: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5392.06.26
Row 1381: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5393.06.26
Row 1382: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5394.06.26
Row 1383: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5395.06.26
Row 1384: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5396.06.26
Row 1385: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5397.06.26
Row 1386: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5398.06.26
Row 1387: Đầu vào: 2026-06-06 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5399.06.26
Row 1388: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5400.06.26
Row 1389: Đầu vào: 2026-06-06 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5401.06.26
Row 1390: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5402.06.26
Row 1391: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5403.06.26
Row 1392: Đầu vào: 2026-06-07 00:00:00, Ép TL: nan, Pipe: 5404.06.26
Row 1393: Đầu vào: 2026-06-07 00:00:00, Ép TL: nan, Pipe: 5405.06.26
Row 1394: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5406.06.26
Row 1395: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5407.06.26
Row 1396: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5408.06.26
Row 1397: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5409.06.26
Row 1398: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5410.06.26
Row 1399: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5411.06.26
Row 1400: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5412.06.26
